,code,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12
94,T1847,,,250.49,,,,,,,,,,,,255.69,,,,,,,,,,,,216.92,,,,,,,,,,,,196.73,,,,,,,,,,,,141.11,,,,,,,,,,,,119.58,,,,,,,,,
95,T1848,,,203.4,,,,,,,,,,,,192.93,,,,,,,,,,,,187.58,,,,,,,,,,,,177.87,,,,,,,,,,,,188.77,,,,,,,,,,,,168.91,,,,,,,,,
96,T1850,,,370.86,,,,,,,,,,,,282.17,,,,,,,,,,,,224.94,,,,,,,,,,,,281.35,,,,,,,,,,,,227.18,,,,,,,,,,,,233.06,,,,,,,,,
97,T1852,,,374.41,,,,,,,,,,,,222.61,,,,,,,,,,,,176.24,,,,,,,,,,,,159.35,,,,,,,,,,,,150.99,,,,,,,,,,,,113.45,,,,,,,,,
98,T1853,,,222.31,,,,,,,,,,,,186.72,,,,,,,,,,,,129.22,,,,,,,,,,,,122.35,,,,,,,,,,,,93.93,,,,,,,,,,,,79.51,,,,,,,,,
99,T1860,,,212.52,,,,,,,,,,,,136.33,,,,,,,,,,,,123.21,,,,,,,,,,,,148.61,,,,,,,,,,,,132.69,,,,,,,,,,,,136.76,,,,,,,,,
100,T1861,,,375.15,,,,,,,,,,,,289.29,,,,,,,,,,,,178.87,,,,,,,,,,,,168.2,,,,,,,,,,,,166.62,,,,,,,,,,,,141.2,,,,,,,,,
101,T1866,,,85.89,,,,,,,,,,,,88.61,,,,,,,,,,,,89.6,,,,,,,,,,,,71.99,,,,,,,,,,,,63.98,,,,,,,,,,,,90.76,,,,,,,,,
102,T1867,,,128.47,,,,,,,,,,,,137.92,,,,,,,,,,,,105.7,,,,,,,,,,,,130.51,,,,,,,,,,,,137.85,,,,,,,,,,,,107.38,,,,,,,,,
103,T1869,,,112,,,,,,,,,,,,98.93,,,,,,,,,,,,86.63,,,,,,,,,,,,81.18,,,,,,,,,,,,76.11,,,,,,,,,,,,73.23,,,,,,,,,
104,T1870,,,138.76,,,,,,,,,,,,135.84,,,,,,,,,,,,132.1,,,,,,,,,,,,122.62,,,,,,,,,,,,108.68,,,,,,,,,,,,151.13,,,,,,,,,
