,code,îNî≈,åéïΩãœécã∆éûä‘,óLãxéÊìæó¶/ëOä˙,ä«óùêEÅEèóê´î‰ó¶,ïΩãœîNóÓçáåv/ëOä˙,fusaiRate,ÉÅÉìÉ^ÉãÉwÉãÉXãxêEé“ó¶,ïΩãœîNä‘ããó^/ëOä˙ÅiëŒêîÅj,è]ã∆àıêîçáåv/ëOä˙ÅiëŒêîÅj,é©å»ìsçáó£êEó¶
182,5715,2020,9.0,64.7,2.3,46.4,137.71,0.0,6.881828084102187,2.322219294733919,0.01485148514851485
183,5715,2021,12.4,55.2,1.4,46.0,128.02,0.0,6.888925244236991,2.3096301674258988,0.009523809523809525
184,4404,2021,9.1,62.2,6.2,41.5,110.38,0.0,6.817788606963768,2.7041505168397992,0.012024048096192385
185,4021,2018,19.5,77.2,2.3,40.2,38.43,0.01072234762979684,6.894459289769612,3.248463717551032,0.007475560667050029
186,4021,2019,19.3,77.4,2.3,40.1,37.17,0.007696536558548653,6.899787081250932,3.2598326990634834,0.006207674943566591
187,4021,2020,19.7,75.8,2.5,40.0,36.19,0.004298764105319721,6.900803279930034,3.269746373130767,0.009345794392523364
188,4021,2021,18.9,73.2,2.8,40.0,37.22,0.0015873015873015873,6.904570251365979,3.2764618041732443,0.013433637829124127
189,2607,2021,20.0,79.2,10.1,43.8,93.57,0.0039032006245121,6.878792628069967,3.1075491297446862,0.018794048551292093
190,5332,2018,20.7,78.8,8.4,41.7,69.51,0.01021355617455896,6.827552517001598,3.8773137433122384,0.0052176300974872995
191,5332,2019,17.4,74.6,8.6,42.6,66.33,0.011809045226130653,6.826771577788187,3.900913067737669,0.003979307600477517
192,5332,2020,16.1,80.8,10.7,42.9,77.94,0.013691809808314663,6.831446402699793,3.904931827395653,0.009798994974874372
193,5332,2021,15.1,89.8,11.7,43.2,51.17,0.010894846370424777,6.832164661794034,3.912168896059627,0.011700273836196167
194,3943,2018,11.4,39.9,0.0,40.4,47.34,0.0058997050147492625,6.705766754622597,2.530199698203082,0.023529411764705882
195,3943,2019,15.7,39.5,0.0,41.0,46.37,0.00303951367781155,6.716132026067817,2.5171958979499744,0.014749262536873156
196,3943,2020,19.9,45.2,0.0,41.5,43.24,0.006172839506172839,6.727409647487505,2.510545010206612,0.02127659574468085
197,3943,2021,14.7,61.8,0.0,41.5,44.59,0.0030864197530864196,6.726635125575627,2.510545010206612,0.027777777777777776
