,証券コード,環境(5),企業統治(5),社会性(5),30歳平均賃金,月平均残業時間,有休取得率/前期,従業員の能力・評価結果の公開,勤続年数合計/前期,3年前4月1日入社・合計(入社者定着状況),うち直近4月1日在籍者・合計(入社者定着状況)
744,7278.0,4.0,4.0,4.0,275000.0,10.6,72.9,1.0,14.6,106.0,73.0
745,7202.0,5.0,4.0,5.0,374117.0,21.4,80.4,1.0,19.0,208.0,193.0
746,7259.0,5.0,5.0,5.0,301763.0,22.2,98.0,1.0,15.8,1376.0,1213.0
748,7240.0,5.0,4.0,4.0,278300.0,9.8,72.4,2.0,17.8,147.0,139.0
749,7242.0,4.0,5.0,4.0,269814.0,15.8,62.8,2.0,16.1,104.0,89.0
751,7734.0,3.0,3.0,3.0,299830.0,18.1,66.6,1.0,15.9,30.0,24.0
754,7701.0,5.0,5.0,5.0,314525.0,2.2,70.8,1.0,18.2,118.0,114.0
755,7715.0,3.0,3.0,3.0,226954.0,3.4,59.7,1.0,18.1,32.0,31.0
756,7723.0,3.0,4.0,3.0,251541.0,16.2,62.4,3.0,16.2,30.0,25.0
758,7780.0,3.0,3.0,3.0,247400.0,4.4,63.2,1.0,12.9,52.0,43.0
759,7730.0,3.0,3.0,3.0,302964.0,4.3,75.1,1.0,15.8,11.0,9.0
760,7731.0,5.0,5.0,5.0,312937.0,21.6,63.0,1.0,16.5,55.0,53.0
761,7732.0,4.0,3.0,4.0,344000.0,13.1,56.7,1.0,16.3,25.0,18.0
762,4543.0,4.0,5.0,4.0,357142.0,16.1,59.9,1.0,17.2,196.0,185.0
763,7740.0,5.0,4.0,4.0,278036.0,11.2,72.0,1.0,16.4,10.0,9.0
765,7774.0,3.0,3.0,3.0,270250.0,13.0,59.0,1.0,8.4,2.0,2.0
766,7762.0,4.0,4.0,5.0,289550.0,6.3,64.4,1.0,17.8,19.0,18.0
769,7733.0,5.0,5.0,5.0,330759.0,6.6,57.2,1.0,15.0,307.0,285.0
770,7727.0,3.0,3.0,3.0,241033.0,8.9,55.4,2.0,16.6,14.0,13.0
779,7811.0,3.0,3.0,3.0,270000.0,12.2,49.7,1.0,12.2,10.0,7.0
780,7875.0,3.0,4.0,3.0,248700.0,20.3,54.0,1.0,16.9,27.0,24.0
782,7905.0,5.0,5.0,5.0,281780.0,9.3,65.8,1.0,17.4,59.0,47.0
788,7914.0,4.0,5.0,4.0,257031.0,26.0,57.8,1.0,16.6,69.0,52.0
789,7953.0,2.0,2.0,2.0,283632.0,6.0,59.1,1.0,13.5,23.0,16.0
790,7966.0,5.0,4.0,4.0,297100.0,6.0,61.8,1.0,19.1,76.0,65.0
793,7951.0,5.0,5.0,5.0,290900.0,16.5,71.4,2.0,19.4,61.0,58.0
794,8022.0,4.0,4.0,4.0,286074.0,4.4,43.6,1.0,19.9,28.0,26.0
798,7956.0,4.0,4.0,4.0,275444.0,6.7,63.6,1.0,15.0,9.0,9.0
801,7932.0,3.0,3.0,3.0,239432.0,1.8,89.6,1.0,16.4,15.0,14.0
