東洋経済コード,負債比率,年版
9610,71.55,2017
9612,231.22,2017
9616,157.09,2017
9619,347.77,2017
9621,55.52,2017
9622,25.01,2017
9625,55.29,2017
9628,16.73,2017
9632,17.07,2017
9633,69.15,2017
9635,65.27,2017
9636,186.35,2017
9639,112.78,2017
9643,28.58,2017
9644,22.91,2017
9647,293.64,2017
9656,77.49,2017
9661,184.45,2017
9663,14.35,2017
9664,7.99,2017
9672,48.41,2017
9678,149.49,2017
9679,162.48,2017
9686,23.86,2017
9699,83.2,2017
9701,49.8,2017
9704,10.95,2017
9708,41.02,2017
9713,343.48,2017
9715,74.81,2017
9716,135.84,2017
9720,77.35,2017
9722,313.21,2017
9723,816.12,2017
9726,282.76,2017
9729,53.95,2017
9731,301.61,2017
9733,236.28,2017
9735,21.78,2017
9740,103.95,2017
9743,113.25,2017
9744,58.73,2017
9755,17.1,2017
9757,9.42,2017
9760,5.65,2017
9761,100.2,2017
9765,102.75,2017
9767,200.76,2017
9768,60.24,2017
9769,91.45,2017
9776,39.34,2017
9778,108.68,2017
9780,98.79,2017
9782,48.43,2017
9788,115.23,2017
9791,134.08,2017
9793,10.63,2017
9795,18.04,2017
2971,0,2017
2972,0,2017
2979,0,2017
3226,222.06,2017
3234,186.79,2017
3249,270.16,2017
3269,227.49,2017
3279,202.29,2017
3281,216.21,2017
3282,217.18,2017
3283,147.07,2017
3287,88.73,2017
3290,277.75,2017
3292,154.46,2017
3295,177.83,2017
3296,202.61,2017
3309,170.27,2017
3451,200.13,2017
3455,220.72,2017
3459,216.63,2017
3462,189.64,2017
3463,123.9,2017
3466,58.43,2017
3468,102.78,2017
3470,134.04,2017
3471,0,2017
3472,94.28,2017
3476,12.68,2017
3481,0,2017
3487,159.03,2017
3488,0,2017
3492,0,2017
8951,184.18,2017
8952,178.14,2017
8953,206.66,2017
8954,209.16,2017
8955,193.07,2017
8956,186.85,2017
8957,191.99,2017
8958,241.13,2017
8960,205.44,2017
8961,218.42,2017
8963,229.52,2017
8964,157.17,2017
8966,180.28,2017
8967,125.7,2017
8968,188.36,2017
8972,186.4,2017
8975,201.87,2017
8976,180.9,2017
8977,198.41,2017
8979,200.33,2017
8984,265.14,2017
8985,74.67,2017
8986,225.61,2017
8987,211.96,2017
9282,0.68,2017
9284,0,2017
9285,0,2017
9286,0,2017
9287,0,2017
2667,65.47,2018
2668,66.38,2018
2676,26.7,2018
2689,179.44,2018
2692,165.8,2018
2693,49.44,2018
2700,257.49,2018
2708,328.9,2018
2721,2580,2018
2733,240.82,2018
2737,121.8,2018
2743,4.76,2018
2750,239.23,2018
2751,27.88,2018
2760,214.27,2018
